Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Shreveport, LA, US","Garth Brooks with Trisha Yearwood at Hirsch Memorial Coliseum (December 7, 1991)",32.4744278,-93.7886188,0.072725,1991-12-07,None,Hirsch Memorial Coliseum
2,"Champaign, IL, US","Garth Brooks with Martina McBride at State Farm Center (September 11, 1992)",40.09626,-88.23608,0.052756,1992-09-11,None,State Farm Center
3,"Sacramento, CA, US","Garth Brooks with Stephanie Davis at Sleep Train Arena (August 13, 1993)",38.648005,-121.517077,0.074998,1993-08-13,None,Sleep Train Arena
4,"Miami, FL, US","Garth Brooks at Miami Arena (April 20, 1996)",25.805128,-80.194311,0.074998,1996-04-20,None,Miami Arena
5,"Portland, OR, US","Garth Brooks at Rose Garden Arena (July 27, 1996)",45.531608,-122.667285,0.074998,1996-07-27,None,Rose Garden Arena
6,"Cincinnati, OH, US","Garth Brooks at Riverfront Coliseum (November 13, 1996)",39.0980677,-84.5043575,0.072725,1996-11-13,None,Riverfront Coliseum
7,"Cincinnati, OH, US","Garth Brooks at Riverfront Coliseum (November 14, 1996)",39.0980677,-84.5043575,0.072725,1996-11-14,None,Riverfront Coliseum
8,"Cincinnati, OH, US","Garth Brooks at Riverfront Coliseum (November 15, 1996)",39.0980677,-84.5043575,0.072725,1996-11-15,None,Riverfront Coliseum
9,"Cincinnati, OH, US","Garth Brooks at Riverfront Coliseum (November 16, 1996)",39.0980677,-84.5043575,0.072725,1996-11-16,None,Riverfront Coliseum
10,"Cincinnati, OH, US","Garth Brooks at Riverfront Coliseum (November 17, 1996)",39.0980677,-84.5043575,0.072725,1996-11-17,None,Riverfront Coliseum
11,"Fresno, CA, US","Garth Brooks at Selland Arena, Fresno Convention Center (August 25, 1997)",36.73345,-119.784214,0.074998,1997-08-25,None,"Selland Arena, Fresno Convention Center"
12,"Rosemont, IL, US","Garth Brooks at Allstate Arena (October 21, 1997)",42.0047854,-87.8878325,0.073672,1997-10-21,None,Allstate Arena
13,"Tampa, FL, US","Garth Brooks with Trisha Yearwood at Ice Palace (October 30, 1998)",27.950575,-82.4571776,0.073061,1998-10-30,None,Ice Palace
14,"Washington, DC, US",Equality Rocks 2000,39.72547,-105.0080598,0.099289,2000-04-29,None,Unknown venue
15,"New York, NY, US","Stevie Wonder with Aretha Franklin, Santana, Joss Stone, and 7 more… at Radio City Music Hall (September 18, 2007)",40.760114,-73.980024,0.361483,2007-09-18,17:00:00,Radio City Music Hall
16,"Kansas City, MO, US","Garth Brooks with Trisha Yearwood at Sprint Center (November 12, 2007)",39.0971547,-94.5810277,0.071725,2007-11-12,18:30:00,Sprint Center
17,"Los Angeles, CA, US","Garth Brooks at Staples Center (January 26, 2008)",34.042984,-118.2668182,0.071725,2008-01-26,22:00:00,Staples Center
18,"Washington, DC, US",We Are One 2009,39.72547,-105.0080598,0.887631,2009-01-18,None,Unknown venue
19,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 27, 2009)",36.1038329,-114.9346083,0.069404,2009-02-27,None,"Encore Theatre, Wynn Las Vegas"
20,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 12, 2010)",36.1038329,-114.9346083,0.069404,2010-02-12,20:00:00,"Encore Theatre, Wynn Las Vegas"
21,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 13, 2010)",36.1038329,-114.9346083,0.069404,2010-02-13,20:00:00,"Encore Theatre, Wynn Las Vegas"
22,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 14, 2010)",36.1038329,-114.9346083,0.069404,2010-02-14,20:00:00,"Encore Theatre, Wynn Las Vegas"
23,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 26, 2010)",36.1038329,-114.9346083,0.069404,2010-02-26,20:00:00,"Encore Theatre, Wynn Las Vegas"
24,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 27, 2010)",36.1038329,-114.9346083,0.069404,2010-02-27,20:00:00,"Encore Theatre, Wynn Las Vegas"
25,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 28, 2010)",36.1038329,-114.9346083,0.069404,2010-02-28,20:00:00,"Encore Theatre, Wynn Las Vegas"
26,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (March 26, 2010)",36.1038329,-114.9346083,0.069404,2010-03-26,None,"Encore Theatre, Wynn Las Vegas"
27,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (March 27, 2010)",36.1038329,-114.9346083,0.069404,2010-03-27,None,"Encore Theatre, Wynn Las Vegas"
28,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (March 28, 2010)",36.1038329,-114.9346083,0.069404,2010-03-28,None,"Encore Theatre, Wynn Las Vegas"
29,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (April 9, 2010)",36.1038329,-114.9346083,0.069404,2010-04-09,22:30:00,"Encore Theatre, Wynn Las Vegas"
30,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (April 10, 2010)",36.1038329,-114.9346083,0.069404,2010-04-10,None,"Encore Theatre, Wynn Las Vegas"
31,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (April 11, 2010)",36.1038329,-114.9346083,0.069404,2010-04-11,None,"Encore Theatre, Wynn Las Vegas"
32,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (June 25, 2010)",36.1038329,-114.9346083,0.069404,2010-06-25,None,"Encore Theatre, Wynn Las Vegas"
33,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (June 26, 2010)",36.1038329,-114.9346083,0.069404,2010-06-26,None,"Encore Theatre, Wynn Las Vegas"
34,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (June 27, 2010)",36.1038329,-114.9346083,0.069404,2010-06-27,20:00:00,"Encore Theatre, Wynn Las Vegas"
35,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (July 16, 2010)",36.1038329,-114.9346083,0.069404,2010-07-16,20:00:00,"Encore Theatre, Wynn Las Vegas"
36,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (July 17, 2010)",36.1038329,-114.9346083,0.069404,2010-07-17,None,"Encore Theatre, Wynn Las Vegas"
37,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (July 18, 2010)",36.1038329,-114.9346083,0.069404,2010-07-18,20:00:00,"Encore Theatre, Wynn Las Vegas"
38,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (August 6, 2010)",36.1038329,-114.9346083,0.069404,2010-08-06,None,"Encore Theatre, Wynn Las Vegas"
39,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (August 7, 2010)",36.1038329,-114.9346083,0.069404,2010-08-07,None,"Encore Theatre, Wynn Las Vegas"
40,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (August 8, 2010)",36.1038329,-114.9346083,0.069404,2010-08-08,None,"Encore Theatre, Wynn Las Vegas"
41,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (September 10, 2010)",36.1038329,-114.9346083,0.069404,2010-09-10,20:00:00,"Encore Theatre, Wynn Las Vegas"
42,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (September 11, 2010)",36.1038329,-114.9346083,0.069404,2010-09-11,20:00:00,"Encore Theatre, Wynn Las Vegas"
43,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (September 12, 2010)",36.1038329,-114.9346083,0.069404,2010-09-12,20:00:00,"Encore Theatre, Wynn Las Vegas"
44,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (October 1, 2010)",36.1294702,-115.1649668,0.071607,2010-10-01,20:00:00,Wynn Las Vegas Hotel & Casino
45,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (October 2, 2010)",36.1294702,-115.1649668,0.071607,2010-10-02,22:30:00,Wynn Las Vegas Hotel & Casino
46,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (October 3, 2010)",36.1294702,-115.1649668,0.071607,2010-10-03,20:00:00,Wynn Las Vegas Hotel & Casino
47,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (October 22, 2010)",36.1294702,-115.1649668,0.071607,2010-10-22,20:00:00,Wynn Las Vegas Hotel & Casino
48,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (October 23, 2010)",36.1294702,-115.1649668,0.071607,2010-10-23,20:00:00,Wynn Las Vegas Hotel & Casino
49,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (October 24, 2010)",36.1294702,-115.1649668,0.071607,2010-10-24,20:00:00,Wynn Las Vegas Hotel & Casino
50,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (November 5, 2010)",36.1294702,-115.1649668,0.071607,2010-11-05,20:00:00,Wynn Las Vegas Hotel & Casino
51,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (November 6, 2010)",36.1294702,-115.1649668,0.071607,2010-11-06,22:30:00,Wynn Las Vegas Hotel & Casino
52,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (November 7, 2010)",36.1294702,-115.1649668,0.071607,2010-11-07,20:00:00,Wynn Las Vegas Hotel & Casino
53,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (November 19, 2010)",36.1294702,-115.1649668,0.071607,2010-11-19,20:00:00,Wynn Las Vegas Hotel & Casino
54,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (November 20, 2010)",36.1294702,-115.1649668,0.071607,2010-11-20,22:30:00,Wynn Las Vegas Hotel & Casino
55,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (November 21, 2010)",36.1294702,-115.1649668,0.071607,2010-11-21,20:00:00,Wynn Las Vegas Hotel & Casino
56,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (December 3, 2010)",36.1294702,-115.1649668,0.071607,2010-12-03,20:00:00,Wynn Las Vegas Hotel & Casino
57,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (December 4, 2010)",36.1294702,-115.1649668,0.071607,2010-12-04,22:30:00,Wynn Las Vegas Hotel & Casino
58,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (December 5, 2010)",36.1294702,-115.1649668,0.071607,2010-12-05,20:00:00,Wynn Las Vegas Hotel & Casino
59,"Nashville, TN, US","Garth Brooks at Bridgestone Arena (December 16, 2010)",36.159949,-86.77857,0.071607,2010-12-16,19:00:00,Bridgestone Arena
60,"Nashville, TN, US","Garth Brooks at Bridgestone Arena (December 17, 2010)",36.159949,-86.77857,0.071607,2010-12-17,19:00:00,Bridgestone Arena
61,"Nashville, TN, US","Garth Brooks at Bridgestone Arena (December 19, 2010)",36.159949,-86.77857,0.071607,2010-12-19,19:30:00,Bridgestone Arena
62,"Nashville, TN, US","Garth Brooks at Bridgestone Arena (December 20, 2010)",36.159949,-86.77857,0.071607,2010-12-20,19:30:00,Bridgestone Arena
63,"Nashville, TN, US","Garth Brooks at Bridgestone Arena (December 21, 2010)",36.159949,-86.77857,0.071607,2010-12-21,18:00:00,Bridgestone Arena
64,"Nashville, TN, US","Garth Brooks at Bridgestone Arena (December 22, 2010)",36.159949,-86.77857,0.071607,2010-12-22,18:00:00,Bridgestone Arena
65,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (January 21, 2011)",36.1038329,-114.9346083,0.069404,2011-01-21,20:00:00,"Encore Theatre, Wynn Las Vegas"
66,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (January 22, 2011)",36.1038329,-114.9346083,0.069404,2011-01-22,22:30:00,"Encore Theatre, Wynn Las Vegas"
67,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (January 23, 2011)",36.1038329,-114.9346083,0.069404,2011-01-23,20:00:00,"Encore Theatre, Wynn Las Vegas"
68,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (February 11, 2011)",36.1294702,-115.1649668,0.071607,2011-02-11,20:00:00,Wynn Las Vegas Hotel & Casino
69,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 12, 2011)",36.1038329,-114.9346083,0.069404,2011-02-12,20:00:00,"Encore Theatre, Wynn Las Vegas"
70,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 13, 2011)",36.1038329,-114.9346083,0.069404,2011-02-13,20:00:00,"Encore Theatre, Wynn Las Vegas"
71,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (February 25, 2011)",36.1038329,-114.9346083,0.069404,2011-02-25,20:00:00,"Encore Theatre, Wynn Las Vegas"
72,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (February 26, 2011)",36.1294702,-115.1649668,0.071607,2011-02-26,20:00:00,Wynn Las Vegas Hotel & Casino
73,"Las Vegas, NV, US","Garth Brooks at Wynn Las Vegas Hotel & Casino (February 27, 2011)",36.1294702,-115.1649668,0.071607,2011-02-27,20:00:00,Wynn Las Vegas Hotel & Casino
74,"Las Vegas, NV, US","Garth Brooks at Encore Theatre, Wynn Las Vegas (March 18, 2011)",36.1038329,-114.9346083,0.069404,2011-03-18,22:30:00,"Encore Theatre, Wynn Las Vegas"
