Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"New York, NY, US",Z100's Jingle Ball 2003,40.7127837,-74.0059413,0.715479,2003-12-11,None,Unknown venue
2,"Sunrise, FL, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at BB&T Center (March 12, 2004)",26.155362,-80.33023,0.707223,2004-03-12,None,BB&T Center
3,"New Orleans, LA, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at New Orleans Arena (March 14, 2004)",29.9519059,-90.0795886,0.707223,2004-03-14,None,New Orleans Arena
4,"Dallas, TX, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at American Airlines Center (March 15, 2004)",32.790442,-96.810159,0.707223,2004-03-15,None,American Airlines Center
5,"San Antonio, TX, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at AT&T Center (March 17, 2004)",29.4270165,-98.4373167,0.707223,2004-03-17,None,AT&T Center
6,"Houston, TX, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at NRG Park (March 18, 2004)",29.6847238,-95.4090033,0.707223,2004-03-18,None,NRG Park
7,"Greensboro, NC, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Greensboro Coliseum Complex (March 21, 2004)",36.0597573,-79.8256684,0.707223,2004-03-21,None,Greensboro Coliseum Complex
8,"Philadelphia, PA, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Wachovia Spectrum Center (March 23, 2004)",39.9045537,-75.1736495,0.707223,2004-03-23,None,Wachovia Spectrum Center
9,"Boston, MA, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at FleetCenter (March 24, 2004)",42.3664872,-71.0621057,0.707223,2004-03-24,None,FleetCenter
10,"Charlotte, NC, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Charlotte Coliseum (March 27, 2004)",35.186365,-80.912742,0.707223,2004-03-27,None,Charlotte Coliseum
11,"Atlanta, GA, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Philips Arena (March 28, 2004)",33.7570952,-84.3971653,0.707223,2004-03-28,None,Philips Arena
12,"Cleveland, OH, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Quicken Loans Arena (March 30, 2004)",41.4967035,-81.6894825,0.707223,2004-03-30,None,Quicken Loans Arena
13,"Minneapolis, MN, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Target Center (April 1, 2004)",44.979657,-93.274889,0.707223,2004-04-01,None,Target Center
14,"Rosemont, IL, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Allstate Arena (April 2, 2004)",42.0047854,-87.8878325,0.707223,2004-04-02,None,Allstate Arena
15,"Auburn Hills, MI, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at The Palace of Auburn Hills (April 3, 2004)",42.696511,-83.2437214,0.707223,2004-04-03,None,The Palace of Auburn Hills
16,"Pittsburgh, PA, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Mellon Arena (April 6, 2004)",40.441093,-79.988708,0.707223,2004-04-06,None,Mellon Arena
17,"Hartford, CT, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at XL Center (April 9, 2004)",41.7780919,-72.6802608,0.707223,2004-04-09,None,XL Center
18,"Uniondale, NY, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at NYCB LIVE: Home of the Nassau Veterans Memorial Coliseum (April 10, 2004)",40.7228919,-73.5905136,0.717689,2004-04-10,None,NYCB LIVE: Home of the Nassau Veterans Memorial Coliseum
19,"Washington, DC, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Verizon Center (April 11, 2004)",38.8975641,-77.0210577,0.707223,2004-04-11,None,Verizon Center
20,"New York, NY, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Madison Square Garden (April 12, 2004)",40.7497096,-73.991556,0.718192,2004-04-12,None,Madison Square Garden
21,"Phoenix, AZ, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Talking Stick Resort Arena (April 15, 2004)",33.445899,-112.071313,0.707223,2004-04-15,None,Talking Stick Resort Arena
22,"Las Vegas, NV, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Mandalay Bay Resort & Casino (April 16, 2004)",36.0919655,-115.1730561,0.707223,2004-04-16,None,Mandalay Bay Resort & Casino
23,"Anaheim, CA, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Honda Center (April 17, 2004)",33.807723,-117.876522,0.707223,2004-04-17,None,Honda Center
24,"Oakland, CA, US","Beyoncé, Alicia Keys, Missy Elliott, and Tamia at Oracle Arena (April 18, 2004)",37.7515541,-122.2015715,0.707223,2004-04-18,None,Oracle Arena
