Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Minneapolis, MN, US","Russ with All-Star Jam at Bunker's (September 11, 2010)",44.988629,-93.278346,0.000344,2010-09-11,None,Bunker's
2,"Denver, CO, US","Dizzy Wright, Jarren Benton, Black Pegasus, Russ, and 1 more… at Cervantes' Masterpiece Ballroom (September 6, 2014)",39.7544946,-104.9785364,0.077257,2014-09-06,21:00:00,Cervantes' Masterpiece Ballroom
3,"Atlanta, GA, US","Russ at The Masquerade (December 6, 2014)",33.7510307,-84.3902825,0.011415,2014-12-06,20:00:00,The Masquerade
4,"Los Angeles, CA, US","Jonwayne, Chester Watson, and Russ at The Echo (December 18, 2014)",34.0793291,-118.2691009,0.039071,2014-12-18,21:00:00,The Echo
5,"Manhattan, NY, US","Boogie with Jay IDK, Bosco, Trial and Era, and 2 more… at S.O.B.'s (October 15, 2015)",40.7284492,-74.0051241,0.061195,2015-10-15,20:00:00,S.O.B.'s
6,"Atlanta, GA, US","Waka Flocka Flame with Russ at Center Stage Theater (January 16, 2016)",33.7920851,-84.3880007,0.153972,2016-01-16,21:00:00,Center Stage Theater
7,"Chicago, IL, US","Metro Boomin with Lil Yachty and Russ at Metro (March 31, 2016)",41.9499156,-87.6588194,0.001526,2016-03-31,21:00:00,Metro
8,"Denver, CO, US","Russ at Bluebird Theater (June 12, 2016)",39.7402806,-104.948382,0.002316,2016-06-12,20:00:00,Bluebird Theater
9,"Los Angeles, CA, US","Russ at The Echo (June 21, 2016)",34.0793291,-118.2691009,0.002522,2016-06-21,20:30:00,The Echo
10,"Los Angeles, CA, US","Russ at The Echo (June 21, 2016)",34.0793291,-118.2691009,0.002522,2016-06-21,19:00:00,The Echo
11,"Santa Ana, CA, US","Russ at The Observatory (June 22, 2016)",33.6998449,-117.9194457,0.002555,2016-06-22,21:00:00,The Observatory
