Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Atlanta, GA, US",Music Midtown 2001,33.9939576,-84.0487827,0.402024,2001-05-04,None,Unknown venue
2,"Northampton, MA, US","Stephen Kellogg And The Sixers with John Mayer at Iron Horse Music Hall (June 13, 2001)",42.3192349,-72.6320768,0.438232,2001-06-13,None,Iron Horse Music Hall
3,"Cincinnati, OH, US","John Mayer at Bogart's Cincinnati (August 24, 2001)",39.1299111,-84.5095387,0.438232,2001-08-24,None,Bogart's Cincinnati
4,"Portland, OR, US","John Mayer at Peter's Room, Roseland Theater (October 6, 2001)",45.5233441,-122.6763299,0.438232,2001-10-06,None,"Peter's Room, Roseland Theater"
5,"Portland, OR, US","John Mayer at Music Millennium - Northwest (October 6, 2001)",45.5283713,-122.6985683,0.438232,2001-10-06,None,Music Millennium - Northwest
6,"Greenville, SC, US","David Mead with John Mayer at The Handlebar (November 5, 2001)",34.8602167,-82.3892938,0.438232,2001-11-05,None,The Handlebar
7,"Knoxville, TN, US","David Mead with John Mayer at Blue Cats (November 6, 2001)",35.971343,-83.917712,0.438232,2001-11-06,None,Blue Cats
8,"Nashville, TN, US","David Mead with John Mayer at 328 Performance Hall (November 7, 2001)",36.1724885,-86.7805961,0.405517,2001-11-07,None,328 Performance Hall
9,"Norfolk, VA, US","David Mead with John Mayer at The NorVa (November 10, 2001)",36.850247,-76.289459,0.438232,2001-11-10,None,The NorVa
10,"Indianapolis, IN, US","David Mead with John Mayer at The Vogue Theatre (November 13, 2001)",39.8692209,-86.1459142,0.438232,2001-11-13,None,The Vogue Theatre
11,"Pontiac, MI, US","David Mead with John Mayer at Clutch Cargo's (November 15, 2001)",42.6394476,-83.2903125,0.438232,2001-11-15,None,Clutch Cargo's
12,"Pittsburgh, PA, US","David Mead with John Mayer at Club Laga (November 16, 2001)",40.4408964,-79.958095,0.438232,2001-11-16,None,Club Laga
13,"Springfield, MA, US","David Mead with John Mayer at Theodore's Booze Blues & BBQ (November 17, 2001)",42.1042146,-72.5922989,0.438232,2001-11-17,None,Theodore's Booze Blues & BBQ
14,"San Francisco, CA, US",KFOG's Concert for Kids 2001 2001,37.7890183,-122.3915063,0.438232,2001-12-09,None,Unknown venue
